1|AR-5381||||Adjustable Race||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
2|BA-8327||||Bearing Ball||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
3|BE-2349||||BB Ball Bearing||false|NA|800|600|||NA||1|||||||2003-07-01T00:00:00.000Z||Current
4|BE-2908||||Headset Ball Bearings||false|NA|800|600|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
5|BL-2036||||Blade||false|NA|800|600|||NA||1|||||||2003-07-01T00:00:00.000Z||Current
6|CA-5965||||LL Crankarm||false|Black|500|375|||NA||0|||L||||2003-07-01T00:00:00.000Z||Current
7|CA-6738||||ML Crankarm||false|Black|500|375|||NA||0|||M||||2003-07-01T00:00:00.000Z||Current
8|CA-7457||||HL Crankarm||false|Black|500|375|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
9|CB-2903||||Chainring Bolts||false|Silver|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
10|CN-6137||||Chainring Nut||false|Silver|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
11|CR-7833||||Chainring||false|Black|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
12|CR-9981||||Crown Race||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
13|CS-2812||||Chain Stays||false|NA|1000|750|||NA||1|||||||2003-07-01T00:00:00.000Z||Current
14|DC-8732||||Decal 1||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
15|DC-9824||||Decal 2||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
16|DT-2377||||Down Tube||false|NA|800|600|||NA||1|||||||2003-07-01T00:00:00.000Z||Current
17|EC-M092||||Mountain End Caps||false|NA|1000|750|||NA||1|||||||2003-07-01T00:00:00.000Z||Current
18|EC-R098||||Road End Caps||false|NA|1000|750|||NA||1|||||||2003-07-01T00:00:00.000Z||Current
19|EC-T209||||Touring End Caps||false|NA|1000|750|||NA||1|||||||2003-07-01T00:00:00.000Z||Current
20|FE-3760||||Fork End||false|NA|800|600|||NA||1|||||||2003-07-01T00:00:00.000Z||Current
21|FH-2981||||Freewheel||false|Silver|500|375|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
22|FW-1000||||Flat Washer 1||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
23|FW-1200||||Flat Washer 6||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
24|FW-1400||||Flat Washer 2||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
25|FW-3400||||Flat Washer 9||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
26|FW-3800||||Flat Washer 4||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
27|FW-5160||||Flat Washer 3||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
28|FW-5800||||Flat Washer 8||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
29|FW-7160||||Flat Washer 5||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
30|FW-9160||||Flat Washer 7||false|NA|1000|750|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
31|FC-3654||||Fork Crown||false|NA|800|600|||NA||1|||||||2003-07-01T00:00:00.000Z||Current
32|FC-3982||||Front Derailleur Cage||false|Silver|800|600|||NA||0|||||||2003-07-01T00:00:00.000Z||Current
